site,crop,variety,sowingdoy,year
Indiana,wheat,Generic,278,1972
Indiana,wheat,Generic,271,1973
Indiana,wheat,Generic,275,1974
Indiana,wheat,Generic,276,1975
Indiana,wheat,Generic,277,1976
Indiana,wheat,Generic,286,1977
Indiana,wheat,Generic,271,1978
Indiana,wheat,Generic,278,1979
Indiana,wheat,Generic,273,1980
Indiana,wheat,Generic,273,1981
Indiana,wheat,Generic,286,1982
Indiana,wheat,Generic,273,1983
Indiana,wheat,Generic,279,1984
Indiana,wheat,Generic,280,1985
Indiana,wheat,Generic,284,1986
Indiana,wheat,Generic,280,1987
Indiana,wheat,Generic,280,1988
Indiana,wheat,Generic,275,1989
Indiana,wheat,Generic,274,1990
