sName,variety,Pyear,DOY,FINT,WGRN,WTOP,
SLucia,Generic,2014,48,0.76433121,NA,NA,
SLucia,Generic,2014,98,1,NA,NA,
SLucia,Generic,2014,118,0.804140127,NA,NA,
SLucia,Generic,2014,125,0.654458599,NA,NA,
SLucia,Generic,2014,132,0.308917197,NA,NA,
SLucia,Generic,2014,157,0.183121019,NA,NA,
SLucia,Generic,2014,181,0,670,NA,
SLucia,Generic,2015,26,0.355270198,NA,NA,
SLucia,Generic,2015,41,0.426966292,NA,NA,
SLucia,Generic,2015,103,1,NA,NA,
SLucia,Generic,2015,119,0.930979133,NA,NA,
SLucia,Generic,2015,135,0.317817014,NA,NA,
SLucia,Generic,2015,145,0.158908507,NA,NA,
SLucia,Generic,2015,180,0,660,NA,
SLucia,Generic,2010,95,1,NA,NA,
SLucia,Generic,2010,186,0,730,NA,
SLucia,Generic,2012,96,1,NA,NA,
SLucia,Generic,2012,176,0,910,NA,
SLucia,Generic,2013,95,1,NA,NA,
SLucia,Generic,2013,180,0,810,NA,
SLucia,Generic,2016,83,1,NA,NA,
SLucia,Generic,2016,180,0,530,NA,
SLucia,Generic,2017,86,1,NA,NA,
SLucia,Generic,2017,164,0,860,NA,
SLucia,Generic,2018,92,1,NA,NA,
SLucia,Generic,2018,178,0,550,NA,
SLucia,Generic,2019,99,1,NA,NA,
SLucia,Generic,2019,175,0,740,NA,
SLucia,Generic,2020,91,1,NA,NA,
SLucia,Generic,2020,173,0,590,NA,
SLucia,Generic,2014,146,,,,21.47692308
SLucia,Generic,2015,145,,,,5.796296296
SLucia,Generic,2010,141,,,,27.28
SLucia,Generic,2011,141,,,,0
SLucia,Generic,2013,145,,,,22.43846154
SLucia,Generic,2016,145,,,,25.24444444
SLucia,Generic,2017,129,,,,17.18518519
SLucia,Generic,2018,143,,,,43.58518519
SLucia,Generic,2019,140,,,,10.23703704
SLucia,Generic,2020,138,,,,15.7037037
SLucia,Generic,2021,138,,,,11.55185185
SLucia,Generic,2022,138,,,,0.13
SLucia,Generic,2023,138,,,,19.01111111
