sName,Variety,Pyear,DOY,FINT,YIELD_ATT,AGB,YIELD_DIS
Garbagna,Deneb,2013,206,1,NA,NA,NA
Garbagna,Deneb,2013,252,0,992,NA,866
Garbagna,Deneb,2014,206,1,NA,NA,NA
Garbagna,Deneb,2014,252,0,794,NA,347
Garbagna,Deneb,2015,206,1,NA,NA,NA
Garbagna,Deneb,2015,252,0,808,NA,325
Garbagna,Gladio,2013,206,1,NA,NA,NA
Garbagna,Gladio,2013,252,0,935,NA,935
Garbagna,Gladio,2014,206,1,NA,NA,NA
Garbagna,Gladio,2014,252,0,717,NA,717
Garbagna,Gladio,2015,206,1,NA,NA,NA
Garbagna,Gladio,2015,252,0,723,NA,719
Garbagna,Balilla,2013,206,1,NA,NA,NA
Garbagna,Balilla,2013,252,0,938,NA,906
Garbagna,Balilla,2014,206,1,NA,NA,NA
Garbagna,Balilla,2014,252,0,768,NA,429
Garbagna,Balilla,2015,206,1,NA,NA,NA
Garbagna,Balilla,2015,252,0,791,NA,787
Garbagna,VialoneNano,2013,206,1,NA,NA,NA
Garbagna,VialoneNano,2013,252,0,655,NA,509
Garbagna,VialoneNano,2014,206,1,NA,NA,NA
Garbagna,VialoneNano,2014,252,0,452,NA,116
Garbagna,VialoneNano,2015,206,1,NA,NA,NA
Garbagna,VialoneNano,2015,252,0,507,NA,156
Garbagna,Deneb,2013,227,0.5,NA,NA,NA
Garbagna,Deneb,2014,227,0.5,NA,NA,NA
Garbagna,Deneb,2015,227,0.5,NA,NA,NA
Garbagna,Gladio,2013,227,0.5,NA,NA,NA
Garbagna,Gladio,2014,227,0.5,NA,NA,NA
Garbagna,Gladio,2015,227,0.5,NA,NA,NA
Garbagna,Balilla,2013,227,0.5,NA,NA,NA
Garbagna,Balilla,2014,227,0.5,NA,NA,NA
Garbagna,Balilla,2015,227,0.5,NA,NA,NA
Garbagna,VialoneNano,2013,227,0.5,NA,NA,NA
Garbagna,VialoneNano,2014,227,0.5,NA,NA,NA
Garbagna,VialoneNano,2015,227,0.5,NA,NA,NA
